observation_number,observation_label,original_recording_id,observation_date,event_number_within_observation,foraging_start_local,foraging_stop_local,foraging_duration_seconds,seconds_covered_by_raw_at_site,seconds_added_by_union_rule,percent_outside_raw_at_site,uncovered_portions_local,decision
3,Observation 3,V2,2017-11-29,1,2017-11-29T10:59:23.719,2017-11-29T10:59:25.967,2.2479999999995925,0.0,2.2479999999995925,100.0,2017-11-29T10:59:23.719 to 2017-11-29T10:59:25.967,Retain foraging; foraging itself confirms focal visibility
3,Observation 3,V2,2017-11-29,2,2017-11-29T11:01:02.619,2017-11-29T11:02:05.272,62.65299999999843,0.0,62.65299999999843,100.0,2017-11-29T11:01:02.619 to 2017-11-29T11:02:05.272,Retain foraging; foraging itself confirms focal visibility
3,Observation 3,V2,2017-11-29,3,2017-11-29T11:06:35.679,2017-11-29T11:06:56.134,20.455000000001746,0.0,20.455000000001746,100.0,2017-11-29T11:06:35.679 to 2017-11-29T11:06:56.134,Retain foraging; foraging itself confirms focal visibility
3,Observation 3,V2,2017-11-29,4,2017-11-29T11:34:17.462,2017-11-29T11:34:26.764,9.302000000003318,0.0,9.302000000003318,100.0,2017-11-29T11:34:17.462 to 2017-11-29T11:34:26.764,Retain foraging; foraging itself confirms focal visibility
6,Observation 6,M(4),2017-12-02,1,2017-12-02T12:55:51.474,2017-12-02T12:56:18.573,27.09900000000198,0.0010000000002037268,27.098000000001775,99.99630982693013,2017-12-02T12:55:51.475 to 2017-12-02T12:56:18.573,Retain foraging; foraging itself confirms focal visibility
7,Observation 7,N5,2017-12-03,1,2017-12-03T12:59:07.076,2017-12-03T13:01:40.849,153.77300000000105,0.0,153.77300000000105,100.0,2017-12-03T12:59:07.076 to 2017-12-03T13:01:40.849,Retain foraging; foraging itself confirms focal visibility
7,Observation 7,N5,2017-12-03,2,2017-12-03T13:03:20.401,2017-12-03T13:03:45.043,24.641999999999825,0.0,24.641999999999825,100.0,2017-12-03T13:03:20.401 to 2017-12-03T13:03:45.043,Retain foraging; foraging itself confirms focal visibility
7,Observation 7,N5,2017-12-03,3,2017-12-03T13:13:20.072,2017-12-03T13:13:58.060,37.987999999999374,0.0,37.987999999999374,100.0,2017-12-03T13:13:20.072 to 2017-12-03T13:13:58.060,Retain foraging; foraging itself confirms focal visibility
7,Observation 7,N5,2017-12-03,4,2017-12-03T13:19:38.995,2017-12-03T13:20:56.714,77.71899999999914,0.0,77.71899999999914,100.0,2017-12-03T13:19:38.995 to 2017-12-03T13:20:56.714,Retain foraging; foraging itself confirms focal visibility
12,Observation 12,M(7),2017-12-14,1,2017-12-14T12:38:17.720,2017-12-14T12:40:37.904,140.1840000000002,0.0009999999992942321,140.1830000000009,99.99928665182952,2017-12-14T12:38:17.721 to 2017-12-14T12:40:37.904,Retain foraging; foraging itself confirms focal visibility
16,Observation 16,V8,2017-12-21,1,2017-12-21T09:34:11.667,2017-12-21T10:08:13.172,2041.5049999999974,534.3320000000022,1507.1729999999952,73.82656422590183,2017-12-21T09:42:40.516 to 2017-12-21T10:07:47.689,Retain foraging; foraging itself confirms focal visibility
22,Observation 22,M(1),2018-01-02,1,2018-01-02T10:15:04.992,2018-01-02T10:15:08.930,3.938000000000102,0.46899999999914144,3.4690000000009604,88.09040121891495,2018-01-02T10:15:05.461 to 2018-01-02T10:15:08.930,Retain foraging; foraging itself confirms focal visibility
22,Observation 22,M(1),2018-01-02,2,2018-01-02T11:46:29.204,2018-01-02T11:58:53.682,744.4779999999992,0.0010000000002037268,744.476999999999,99.99986567769629,2018-01-02T11:46:29.205 to 2018-01-02T11:58:53.682,Retain foraging; foraging itself confirms focal visibility
22,Observation 22,M(1),2018-01-02,3,2018-01-02T15:56:05.082,2018-01-02T15:56:10.912,5.830000000001746,0.0,5.830000000001746,100.0,2018-01-02T15:56:05.082 to 2018-01-02T15:56:10.912,Retain foraging; foraging itself confirms focal visibility
23,Observation 23,M(2),2018-01-03,1,2018-01-03T11:09:22.441,2018-01-03T11:09:35.606,13.164999999999054,0.0009999999983847374,13.16400000000067,99.9924041017973,2018-01-03T11:09:22.442 to 2018-01-03T11:09:35.606,Retain foraging; foraging itself confirms focal visibility
23,Observation 23,M(2),2018-01-03,2,2018-01-03T16:37:25.277,2018-01-03T16:38:24.053,58.77599999999802,0.000999999996565748,58.775000000001455,99.99829862529508,2018-01-03T16:37:25.278 to 2018-01-03T16:38:24.053,Retain foraging; foraging itself confirms focal visibility
24,Observation 24,M(3),2018-01-04,1,2018-01-04T11:45:25.209,2018-01-04T11:45:43.691,18.48199999999997,0.0,18.48199999999997,100.0,2018-01-04T11:45:25.209 to 2018-01-04T11:45:43.691,Retain foraging; foraging itself confirms focal visibility
24,Observation 24,M(3),2018-01-04,2,2018-01-04T11:45:44.440,2018-01-04T11:45:53.974,9.53399999999965,0.0,9.53399999999965,100.0,2018-01-04T11:45:44.440 to 2018-01-04T11:45:53.974,Retain foraging; foraging itself confirms focal visibility
