observation_number,observation_label,original_recording_id,observation_date,observer,collection_day,bin_number,clock_hour,camera_seconds,post_collection_fraction,raw_at_site_seconds,foraging_within_raw_at_site_seconds,focal_visible_union_seconds,all_foraging_seconds
1,Observation 1,N2,2017-10-23,Observer 2,1,1,7.483333333333333,120.0,0.0,0.0,0.0,0.0,0.0
1,Observation 1,N2,2017-10-23,Observer 2,1,2,7.75,1800.0,0.0,0.0,0.0,0.0,0.0
1,Observation 1,N2,2017-10-23,Observer 2,1,3,8.25,1800.0,0.0,0.0,0.0,0.0,0.0
1,Observation 1,N2,2017-10-23,Observer 2,1,4,8.75,1800.0,0.0,113.21399999999903,40.06800000000021,113.21399999999903,40.06800000000021
1,Observation 1,N2,2017-10-23,Observer 2,1,5,9.25,1800.0,0.0,0.0,0.0,0.0,0.0
1,Observation 1,N2,2017-10-23,Observer 2,1,6,9.75,1800.0,0.0,324.59000000000196,243.23700000000008,324.59000000000196,243.23700000000008
1,Observation 1,N2,2017-10-23,Observer 2,1,7,10.25,1800.0,0.0,486.47299999999814,402.7099999999955,486.47299999999814,402.7099999999955
1,Observation 1,N2,2017-10-23,Observer 2,1,8,10.75,1800.0,0.8048544444444441,374.8550000000014,346.4800000000032,374.8550000000014,346.4800000000032
1,Observation 1,N2,2017-10-23,Observer 2,1,9,11.25,1800.0,1.0,964.534999999998,228.43599999999788,964.534999999998,228.43599999999788
1,Observation 1,N2,2017-10-23,Observer 2,1,10,11.75,1800.0,1.0,609.985999999999,289.0679999999993,609.985999999999,289.0679999999993
1,Observation 1,N2,2017-10-23,Observer 2,1,11,12.25,1800.0,1.0,439.15300000000207,433.7649999999958,439.15300000000207,433.7649999999958
1,Observation 1,N2,2017-10-23,Observer 2,1,12,12.75,1800.0,1.0,454.2250000000022,211.56900000000678,454.2250000000022,211.56900000000678
1,Observation 1,N2,2017-10-23,Observer 2,1,13,13.25,1800.0,1.0,1450.6939999999959,368.1620000000039,1450.6939999999959,368.1620000000039
1,Observation 1,N2,2017-10-23,Observer 2,1,14,13.75,1800.0,1.0,690.7770000000019,613.4020000000091,690.7770000000019,613.4020000000091
1,Observation 1,N2,2017-10-23,Observer 2,1,15,14.25,1800.0,1.0,0.0,0.0,0.0,0.0
1,Observation 1,N2,2017-10-23,Observer 2,1,16,14.516944444444444,123.5,1.0,0.0,0.0,0.0,0.0
2,Observation 2,N3,2017-10-25,Observer 2,1,1,10.783333333333333,1560.0,0.8722019230769231,740.142,619.8840000000002,740.142,619.8840000000002
2,Observation 2,N3,2017-10-25,Observer 2,1,2,11.25,1800.0,1.0,403.96399999999994,257.2960000000005,403.96399999999994,257.2960000000005
2,Observation 2,N3,2017-10-25,Observer 2,1,3,11.75,1800.0,1.0,441.6399999999994,215.0349999999994,441.6399999999994,215.0349999999994
2,Observation 2,N3,2017-10-25,Observer 2,1,4,12.25,1800.0,1.0,908.0540000000001,467.22499999999945,908.0540000000001,467.22499999999945
2,Observation 2,N3,2017-10-25,Observer 2,1,5,12.75,1800.0,1.0,1215.5879999999988,230.1730000000025,1215.5879999999988,230.1730000000025
2,Observation 2,N3,2017-10-25,Observer 2,1,6,13.25,1800.0,1.0,882.7530000000006,489.0679999999975,882.7530000000006,489.0679999999975
2,Observation 2,N3,2017-10-25,Observer 2,1,7,13.75,1800.0,1.0,908.5389999999952,352.7260000000042,908.5389999999952,352.7260000000042
2,Observation 2,N3,2017-10-25,Observer 2,1,8,14.25,1800.0,1.0,160.3169999999991,149.44500000000153,160.3169999999991,149.44500000000153
2,Observation 2,N3,2017-10-25,Observer 2,1,9,14.522777777777778,165.5,1.0,13.960000000000946,10.227000000000771,13.960000000000946,10.227000000000771
3,Observation 3,V2,2017-11-29,Observer 3,1,1,8.858333333333333,1020.0,0.0,68.86299999999756,49.89999999999782,68.86299999999756,49.89999999999782
3,Observation 3,V2,2017-11-29,Observer 3,1,2,9.25,1800.0,0.0,56.65799999999581,17.773999999997613,56.65799999999581,17.773999999997613
3,Observation 3,V2,2017-11-29,Observer 3,1,3,9.75,1800.0,0.0,127.29100000000471,28.174000000006345,127.29100000000471,28.174000000006345
3,Observation 3,V2,2017-11-29,Observer 3,1,4,10.25,1800.0,0.0,502.6359999999913,377.64600000000064,502.6359999999913,377.64600000000064
3,Observation 3,V2,2017-11-29,Observer 3,1,5,10.75,1800.0,0.0,416.84799999999814,89.22899999999936,419.09599999999773,91.47699999999895
3,Observation 3,V2,2017-11-29,Observer 3,1,6,11.25,1800.0,0.0,1474.6789999999964,0.0,1557.7869999999966,83.10800000000017
3,Observation 3,V2,2017-11-29,Observer 3,1,7,11.75,1800.0,0.12420722222222037,374.27999999999156,106.98800000000483,383.5819999999949,116.29000000000815
3,Observation 3,V2,2017-11-29,Observer 3,1,8,12.25,1800.0,1.0,964.2799999999916,443.70700000000943,964.2799999999916,443.70700000000943
3,Observation 3,V2,2017-11-29,Observer 3,1,9,12.75,1800.0,1.0,680.7179999999935,198.9409999999989,680.7179999999935,198.9409999999989
3,Observation 3,V2,2017-11-29,Observer 3,1,10,13.25,1800.0,1.0,1433.676000000014,545.849000000002,1433.676000000014,545.849000000002
3,Observation 3,V2,2017-11-29,Observer 3,1,11,13.75,1800.0,1.0,275.9540000000052,96.26900000000023,275.9540000000052,96.26900000000023
