observation_id,observation_date,weekday,observer,collection_day,post_collection,bin_number,segment_number,clock_hour,camera_clock_hour,hours_from_collection_midpoint,post_collection_hours,segment_seconds,focal_visible_seconds,foraging_seconds,displacement_events,displacement_focal_to_others,displacement_others_to_focal,displacement_unspecified,visible_displacement_events,visible_displacement_focal_to_others,visible_displacement_others_to_focal,visible_displacement_unspecified,foraging_displacement_events,exclude_n3
N2,2017-10-23,Monday,Observer 2,1,0,1,1,7.733333333333333,7.733333333333333,-2.864239444444445,0.0,1920.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,2,1,8.7827280419898,8.5,-2.0975727777777777,0.0,3600.0,113.21399999999903,40.06800000000021,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,3,1,9.858630970580835,9.5,-1.097572777777778,0.0,3600.0,324.59000000000196,243.23700000000008,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,4,1,10.23519842502536,10.298786388888889,-0.2987863888888887,0.0,2151.2620000000006,486.47299999999814,402.7099999999955,1,0,0,1,1,0,0,1,1,1
N2,2017-10-23,Monday,Observer 2,1,1,4,2,10.929081446106938,10.798786388888889,0.20121361111111127,0.20121361111111127,1448.7379999999994,374.8550000000014,346.4800000000032,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,1,5,1,11.317306520878855,11.5,0.902427222222222,0.902427222222222,3600.0,1574.520999999997,517.5039999999972,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,1,6,1,12.539503582712035,12.5,1.902427222222222,1.902427222222222,3600.0,893.3780000000042,645.3340000000026,1,0,0,1,1,0,0,1,1,1
N2,2017-10-23,Monday,Observer 2,1,1,7,1,13.386672505470864,13.5,2.9024272222222223,2.9024272222222223,3600.0,2141.4709999999977,981.564000000013,6,0,0,6,6,0,0,6,6,1
N2,2017-10-23,Monday,Observer 2,1,1,8,1,14.267152777777778,14.267152777777778,3.66958,3.66958,1923.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N3,2017-10-25,Wednesday,Observer 2,1,0,1,1,10.59435625,10.59435625,-0.027689583333333333,0.0,199.365,0.0,0.0,0,0,0,0,0,0,0,0,0,0
N3,2017-10-25,Wednesday,Observer 2,1,1,1,2,10.77189965970569,10.811022916666667,0.18897708333333332,0.18897708333333332,1360.635,740.142,619.8840000000002,3,0,0,3,3,0,0,3,3,0
N3,2017-10-25,Wednesday,Observer 2,1,1,2,1,11.557133779597187,11.5,0.8779541666666667,0.8779541666666667,3600.0,845.6039999999994,472.3309999999999,0,0,0,0,0,0,0,0,0,0
N3,2017-10-25,Wednesday,Observer 2,1,1,3,1,12.604290571409216,12.5,1.8779541666666668,1.8779541666666668,3600.0,2123.641999999999,697.398000000002,5,0,0,5,5,0,0,5,5,0
N3,2017-10-25,Wednesday,Observer 2,1,1,4,1,13.452783935292391,13.5,2.8779541666666666,2.8779541666666666,3600.0,1791.2919999999958,841.7940000000017,2,0,0,2,2,0,0,2,2,0
N3,2017-10-25,Wednesday,Observer 2,1,1,5,1,14.420736167731542,14.272986111111111,3.650940277777778,3.650940277777778,1965.5,174.27700000000004,159.6720000000023,0,0,0,0,0,0,0,0,0,0
V2,2017-11-29,Wednesday,Observer 3,1,0,1,1,8.884196709612242,8.858333333333333,-3.0795630555555564,0.0,1020.0,68.86299999999756,49.89999999999782,0,0,0,0,0,0,0,0,0,1
V2,2017-11-29,Wednesday,Observer 3,1,0,2,1,9.599008276000871,9.5,-2.43789638888889,0.0,3600.0,183.94900000000052,45.94800000000396,1,0,1,0,1,0,1,0,1,1
V2,2017-11-29,Wednesday,Observer 3,1,0,3,1,10.470890017424022,10.5,-1.4378963888888898,0.0,3600.0,921.7319999999891,469.1229999999996,0,0,0,0,0,0,0,0,0,1
V2,2017-11-29,Wednesday,Observer 3,1,0,4,1,11.324360822801129,11.468948194444444,-0.4689481944444449,0.0,3376.4270000000033,1871.3369999999923,131.03800000000774,0,0,0,0,0,0,0,0,0,1
V2,2017-11-29,Wednesday,Observer 3,1,1,4,2,11.990273333333333,11.968948194444444,0.031051805555555093,0.031051805555555093,223.57299999999668,70.03199999999924,68.36000000000058,0,0,0,0,0,0,0,0,0,1
V2,2017-11-29,Wednesday,Observer 3,1,1,5,1,12.39858704455669,12.5,0.5621036111111102,0.5621036111111102,3600.0,1644.997999999985,642.6480000000083,2,2,0,0,2,2,0,0,2,1
V2,2017-11-29,Wednesday,Observer 3,1,1,6,1,13.354825976349657,13.5,1.5621036111111102,1.5621036111111102,3600.0,1709.6300000000192,642.1180000000022,0,0,0,0,0,0,0,0,0,1
V2,2017-11-29,Wednesday,Observer 3,1,1,7,1,14.349050437122843,14.5,2.56210361111111,2.56210361111111,3600.0,971.9830000000002,479.6559999999881,0,0,0,0,0,0,0,0,0,1
V2,2017-11-29,Wednesday,Observer 3,1,1,8,1,15.608988441494477,15.5,3.56210361111111,3.56210361111111,3600.0,870.8469999999943,554.9710000000123,0,0,0,0,0,0,0,0,0,1
V2,2017-11-29,Wednesday,Observer 3,1,1,9,1,16.019618055555554,16.229144444444444,4.291248055555554,4.291248055555554,1649.8400000000001,141.25,0.0,0,0,0,0,0,0,0,0,0,1
V3,2017-11-30,Thursday,Observer 3,0,0,1,1,15.746262277465746,15.791666666666666,,0.0,1500.0,415.82300000000396,237.49700000000303,0,0,0,0,0,0,0,0,0,1
V3,2017-11-30,Thursday,Observer 3,0,0,2,1,16.122053003824725,16.5,,0.0,3600.0,845.3480000000054,366.64699999998993,0,0,0,0,0,0,0,0,0,1
V3,2017-11-30,Thursday,Observer 3,0,0,3,1,17.734963801747657,17.5,,0.0,3600.0,210.9649999999965,0.0,0,0,0,0,0,0,0,0,0,1
V3,2017-11-30,Thursday,Observer 3,0,0,4,1,18.003922222222222,18.003922222222222,,0.0,28.23999999999978,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,0,1,1,8.525,8.525,-3.5640727777777776,0.0,3420.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,0,2,1,9.87745638888889,9.5,-2.589072777777778,0.0,3600.0,100.16600000000017,89.1880000000001,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,0,3,1,10.392941666666665,10.5,-1.5890727777777778,0.0,3600.0,295.8919999999998,230.14199999999983,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,0,4,1,11.685629358619867,11.5,-0.5890727777777779,0.0,3600.0,632.5709999999981,573.7530000000006,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,0,5,1,12.044536388888888,12.044536388888888,-0.044536388888888924,0.0,320.66200000000026,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,1,5,2,12.613008706609673,12.544536388888888,0.45546361111111106,0.45546361111111106,3279.3379999999997,695.7260000000006,425.9260000000013,1,0,0,1,1,0,0,1,1,1
N4,2017-12-01,Friday,Observer 2,1,1,6,1,13.285862884150824,13.5,1.4109272222222222,1.4109272222222222,3600.0,1020.4000000000015,496.2899999999936,1,0,0,1,1,0,0,1,1,1
N4,2017-12-01,Friday,Observer 2,1,1,7,1,14.406380721291082,14.5,2.410927222222222,2.410927222222222,3600.0,1322.0049999999974,989.1229999999996,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,1,8,1,15.198088564108035,15.5,3.410927222222222,3.410927222222222,3600.0,234.5,190.23900000000503,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,1,9,1,16.619189059952475,16.5,4.410927222222222,4.410927222222222,3600.0,369.73499999999694,183.0400000000045,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,1,10,1,17.335286944444444,17.5,5.410927222222222,5.410927222222222,3600.0,82.82800000000134,68.87199999999575,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,1,11,1,18.5,18.5,6.410927222222222,6.410927222222222,3600.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,1,12,1,19.5,19.5,7.410927222222222,7.410927222222222,3600.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N4,2017-12-01,Friday,Observer 2,1,1,13,1,20.360436111111113,20.360436111111113,8.271363333333333,8.271363333333333,2595.1399999999994,0.0,0.0,0,0,0,0,0,0,0,0,0,1
M(4),2017-12-02,Saturday,Observer 1,0,0,1,1,8.616666666666667,8.616666666666667,,0.0,2760.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
M(4),2017-12-02,Saturday,Observer 1,0,0,2,1,9.755904362736375,9.5,,0.0,3600.0,285.66299999999956,93.41000000000076,0,0,0,0,0,0,0,0,0,1
M(4),2017-12-02,Saturday,Observer 1,0,0,3,1,10.733843792162324,10.5,,0.0,3600.0,772.9650000000038,329.48799999999574,1,0,1,0,1,0,1,0,1,1
M(4),2017-12-02,Saturday,Observer 1,0,0,4,1,11.526099360272477,11.5,,0.0,3600.0,2118.722999999998,179.20800000000054,0,0,0,0,0,0,0,0,0,1
M(4),2017-12-02,Saturday,Observer 1,0,0,5,1,12.537337539894821,12.5,,0.0,3600.0,1710.1389999999956,1164.5899999999983,3,2,1,0,3,2,1,0,2,1
M(4),2017-12-02,Saturday,Observer 1,0,0,6,1,13.40205436880949,13.5,,0.0,3600.0,1899.289000000008,961.6480000000047,1,1,0,0,1,1,0,0,1,1
M(4),2017-12-02,Saturday,Observer 1,0,0,7,1,14.313736003235709,14.5,,0.0,3600.0,521.8250000000007,376.96600000000035,1,0,1,0,1,0,1,0,1,1
M(4),2017-12-02,Saturday,Observer 1,0,0,8,1,15.385227420461957,15.5,,0.0,3600.0,1944.940999999999,1269.564999999995,3,2,1,0,3,2,1,0,3,1
M(4),2017-12-02,Saturday,Observer 1,0,0,9,1,16.940927081628637,16.5,,0.0,3600.0,337.46600000000035,122.90999999999622,1,0,1,0,1,0,1,0,1,1
M(4),2017-12-02,Saturday,Observer 1,0,0,10,1,17.368483469596157,17.5,,0.0,3600.0,2053.1369999999843,611.1449999999932,2,0,2,0,2,0,2,0,1,1
M(4),2017-12-02,Saturday,Observer 1,0,0,11,1,18.5,18.5,,0.0,3600.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
M(4),2017-12-02,Saturday,Observer 1,0,0,12,1,19.32695,19.32695,,0.0,2354.040000000001,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N5,2017-12-03,Sunday,Observer 2,0,0,1,1,9.841666666666667,9.841666666666667,,0.0,1140.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N5,2017-12-03,Sunday,Observer 2,0,0,2,1,10.521691033370425,10.5,,0.0,3600.0,1528.9219999999996,690.5299999999997,2,0,0,2,2,0,0,2,2,1
N5,2017-12-03,Sunday,Observer 2,0,0,3,1,11.104104361659259,11.5,,0.0,3600.0,599.7969999999996,375.9989999999998,1,0,0,1,1,0,0,1,1,1
N5,2017-12-03,Sunday,Observer 2,0,0,4,1,12.599672898629995,12.5,,0.0,3600.0,1573.2300000000014,723.0570000000025,1,0,0,1,1,0,0,1,1,1
N5,2017-12-03,Sunday,Observer 2,0,0,5,1,13.352253433858554,13.5,,0.0,3600.0,1507.4519999999975,709.5360000000001,4,0,0,4,3,0,0,3,3,1
N5,2017-12-03,Sunday,Observer 2,0,0,6,1,14.628820258382973,14.5,,0.0,3600.0,1371.092999999999,553.4610000000011,2,0,0,2,2,0,0,2,2,1
N5,2017-12-03,Sunday,Observer 2,0,0,7,1,15.607155413179335,15.5,,0.0,3600.0,1556.0290000000023,793.096000000005,6,0,0,6,6,0,0,6,6,1
N5,2017-12-03,Sunday,Observer 2,0,0,8,1,16.386299310940288,16.5,,0.0,3600.0,1395.7669999999962,524.729000000003,0,0,0,0,0,0,0,0,0,1
N5,2017-12-03,Sunday,Observer 2,0,0,9,1,17.53818502889961,17.5,,0.0,3600.0,578.4199999999983,306.9439999999995,0,0,0,0,0,0,0,0,0,1
N5,2017-12-03,Sunday,Observer 2,0,0,10,1,18.137554717191428,18.5,,0.0,3600.0,655.6839999999975,193.03899999999703,2,0,0,2,2,0,0,2,2,1
N5,2017-12-03,Sunday,Observer 2,0,0,11,1,19.5,19.5,,0.0,3600.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N5,2017-12-03,Sunday,Observer 2,0,0,12,1,20.160394444444442,20.160394444444442,,0.0,1154.8399999999965,0.0,0.0,0,0,0,0,0,0,0,0,0,1
