observation_number,observation_label,original_recording_id,observation_date,event_time_local,collection_day,collection_phase,direction_category,raw_modifier,recorded_group_size_label,recorded_group_size_lower_bound,focal_competitors_lower_bound,source_event_index
1,Observation 1,N2,2017-10-23,2017-10-23T10:25:09.178,1,Pre-collection,Not direction-coded,None,3,3,2,242
1,Observation 1,N2,2017-10-23,2017-10-23T12:24:13.041,1,Post-collection,Not direction-coded,None,3,3,2,470
1,Observation 1,N2,2017-10-23,2017-10-23T13:28:34.652,1,Post-collection,Not direction-coded,None,3,3,2,653
1,Observation 1,N2,2017-10-23,2017-10-23T13:29:29.930,1,Post-collection,Not direction-coded,None,3,3,2,658
1,Observation 1,N2,2017-10-23,2017-10-23T13:29:34.130,1,Post-collection,Not direction-coded,None,3,3,2,661
1,Observation 1,N2,2017-10-23,2017-10-23T13:29:45.957,1,Post-collection,Not direction-coded,None,3,3,2,664
1,Observation 1,N2,2017-10-23,2017-10-23T13:29:48.376,1,Post-collection,Not direction-coded,None,3,3,2,667
1,Observation 1,N2,2017-10-23,2017-10-23T13:30:12.563,1,Post-collection,Not direction-coded,None,3,3,2,670
2,Observation 2,N3,2017-10-25,2017-10-25T10:39:57.756,1,Post-collection,Not direction-coded,None,2,2,1,8
2,Observation 2,N3,2017-10-25,2017-10-25T10:43:31.267,1,Post-collection,Not direction-coded,None,2,2,1,37
2,Observation 2,N3,2017-10-25,2017-10-25T10:44:31.325,1,Post-collection,Not direction-coded,None,3,3,2,43
2,Observation 2,N3,2017-10-25,2017-10-25T12:25:19.736,1,Post-collection,Not direction-coded,None,3,3,2,262
2,Observation 2,N3,2017-10-25,2017-10-25T12:26:01.611,1,Post-collection,Not direction-coded,None,3,3,2,265
2,Observation 2,N3,2017-10-25,2017-10-25T12:32:42.884,1,Post-collection,Not direction-coded,None,2,2,1,314
2,Observation 2,N3,2017-10-25,2017-10-25T12:47:38.588,1,Post-collection,Not direction-coded,None,3,3,2,361
2,Observation 2,N3,2017-10-25,2017-10-25T12:47:52.545,1,Post-collection,Not direction-coded,None,3,3,2,367
2,Observation 2,N3,2017-10-25,2017-10-25T13:29:04.714,1,Post-collection,Not direction-coded,None,5,5,4,454
2,Observation 2,N3,2017-10-25,2017-10-25T13:38:26.121,1,Post-collection,Not direction-coded,None,2,2,1,531
3,Observation 3,V2,2017-11-29,2017-11-29T09:40:56.215,1,Pre-collection,Another grackle displaced focal,Displacement from others to focal,2,2,1,56
3,Observation 3,V2,2017-11-29,2017-11-29T12:05:29.363,1,Post-collection,Focal displaced another grackle,Displacement from focal to others,4,4,3,359
3,Observation 3,V2,2017-11-29,2017-11-29T12:06:08.426,1,Post-collection,Focal displaced another grackle,Displacement from focal to others,4,4,3,364
5,Observation 5,N4,2017-12-01,2017-12-01T12:21:55.012,1,Post-collection,Not direction-coded,None,3,3,2,129
5,Observation 5,N4,2017-12-01,2017-12-01T13:31:30.073,1,Post-collection,Not direction-coded,None,2,2,1,214
6,Observation 6,M(4),2017-12-02,2017-12-02T10:44:36.153,0,No collection,Another grackle displaced focal,Displacement from others to focal,1,1,0,59
6,Observation 6,M(4),2017-12-02,2017-12-02T12:14:04.295,0,No collection,Another grackle displaced focal,Displacement from others to focal,2,2,1,256
6,Observation 6,M(4),2017-12-02,2017-12-02T12:21:18.664,0,No collection,Focal displaced another grackle,Displacement from focal to others,1,1,0,272
6,Observation 6,M(4),2017-12-02,2017-12-02T12:52:29.414,0,No collection,Focal displaced another grackle,Displacement from focal to others,2,2,1,369
6,Observation 6,M(4),2017-12-02,2017-12-02T13:36:01.154,0,No collection,Focal displaced another grackle,Displacement from focal to others,2,2,1,504
6,Observation 6,M(4),2017-12-02,2017-12-02T14:16:46.375,0,No collection,Another grackle displaced focal,Displacement from others to focal,2,2,1,540
6,Observation 6,M(4),2017-12-02,2017-12-02T15:11:44.608,0,No collection,Focal displaced another grackle,Displacement from focal to others,3,3,2,616
6,Observation 6,M(4),2017-12-02,2017-12-02T15:12:12.557,0,No collection,Another grackle displaced focal,Displacement from others to focal,4,4,3,622
6,Observation 6,M(4),2017-12-02,2017-12-02T15:33:30.406,0,No collection,Focal displaced another grackle,Displacement from focal to others,2,2,1,687
6,Observation 6,M(4),2017-12-02,2017-12-02T16:57:04.817,0,No collection,Another grackle displaced focal,Displacement from others to focal,1,1,0,766
6,Observation 6,M(4),2017-12-02,2017-12-02T17:12:12.948,0,No collection,Another grackle displaced focal,Displacement from others to focal,1,1,0,798
6,Observation 6,M(4),2017-12-02,2017-12-02T17:22:47.584,0,No collection,Another grackle displaced focal,Displacement from others to focal,1,1,0,855
7,Observation 7,N5,2017-12-03,2017-12-03T10:40:31.923,0,No collection,Not direction-coded,None,4,4,3,100
7,Observation 7,N5,2017-12-03,2017-12-03T10:40:56.543,0,No collection,Not direction-coded,None,4,4,3,103
7,Observation 7,N5,2017-12-03,2017-12-03T11:01:48.642,0,No collection,Not direction-coded,None,3,3,2,149
7,Observation 7,N5,2017-12-03,2017-12-03T12:48:31.430,0,No collection,Not direction-coded,None,3,3,2,242
7,Observation 7,N5,2017-12-03,2017-12-03T13:01:40.850,0,No collection,Not direction-coded,None,Unknown,,,296
7,Observation 7,N5,2017-12-03,2017-12-03T13:01:44.505,0,No collection,Not direction-coded,None,Unknown,,,297
7,Observation 7,N5,2017-12-03,2017-12-03T13:56:17.289,0,No collection,Not direction-coded,None,2,2,1,347
7,Observation 7,N5,2017-12-03,2017-12-03T13:58:57.485,0,No collection,Not direction-coded,None,1,1,0,365
7,Observation 7,N5,2017-12-03,2017-12-03T14:34:00.288,0,No collection,Not direction-coded,None,2,2,1,430
7,Observation 7,N5,2017-12-03,2017-12-03T14:53:24.817,0,No collection,Not direction-coded,None,3,3,2,481
7,Observation 7,N5,2017-12-03,2017-12-03T15:32:00.995,0,No collection,Not direction-coded,None,2,2,1,519
7,Observation 7,N5,2017-12-03,2017-12-03T15:33:06.822,0,No collection,Not direction-coded,None,3,3,2,525
7,Observation 7,N5,2017-12-03,2017-12-03T15:33:41.865,0,No collection,Not direction-coded,None,3,3,2,528
7,Observation 7,N5,2017-12-03,2017-12-03T15:40:15.051,0,No collection,Not direction-coded,None,2,2,1,559
7,Observation 7,N5,2017-12-03,2017-12-03T15:52:13.131,0,No collection,Not direction-coded,None,2,2,1,590
7,Observation 7,N5,2017-12-03,2017-12-03T15:53:37.630,0,No collection,Not direction-coded,None,2,2,1,596
7,Observation 7,N5,2017-12-03,2017-12-03T18:05:46.001,0,No collection,Not direction-coded,None,2,2,1,845
7,Observation 7,N5,2017-12-03,2017-12-03T18:08:14.711,0,No collection,Not direction-coded,None,3,3,2,862
8,Observation 8,N6,2017-12-05,2017-12-05T14:25:16.431,0,No collection,Not direction-coded,None,2,2,1,368
8,Observation 8,N6,2017-12-05,2017-12-05T15:56:01.694,0,No collection,Not direction-coded,None,2,2,1,492
8,Observation 8,N6,2017-12-05,2017-12-05T15:57:16.742,0,No collection,Not direction-coded,None,3,3,2,505
8,Observation 8,N6,2017-12-05,2017-12-05T16:01:35.587,0,No collection,Not direction-coded,None,4,4,3,517
9,Observation 9,M(5),2017-12-06,2017-12-06T11:44:01.839,1,Post-collection,Another grackle displaced focal,Displacement from others to focal,2,2,1,50
9,Observation 9,M(5),2017-12-06,2017-12-06T11:45:39.967,1,Post-collection,Focal displaced another grackle,Displacement from focal to others,2,2,1,56
9,Observation 9,M(5),2017-12-06,2017-12-06T13:20:47.997,1,Post-collection,Another grackle displaced focal,Displacement from others to focal,2,2,1,321
9,Observation 9,M(5),2017-12-06,2017-12-06T16:25:33.512,1,Post-collection,Another grackle displaced focal,Displacement from others to focal,1,1,0,682
10,Observation 10,V4,2017-12-12,2017-12-12T13:17:40.355,0,No collection,Another grackle displaced focal,Displacement from others to focal,2,2,1,214
10,Observation 10,V4,2017-12-12,2017-12-12T16:30:11.948,0,No collection,Focal displaced another grackle,Displacement from focal to others,4,4,3,503
10,Observation 10,V4,2017-12-12,2017-12-12T17:07:36.081,0,No collection,Another grackle displaced focal,Displacement from others to focal,2,2,1,540
