event_id,observation_id,observation_date,collection_day,event_clock_hour,hours_from_collection,post_collection,direction,raw_modifier,inside_focal_visible,inside_raw_at_site,inside_foraging
90,N2,2017-10-23,1,10.419216111111112,-0.17835666666666689,0,unspecified,None,1,1,1
91,N2,2017-10-23,1,12.403622499999999,1.8060497222222223,1,unspecified,None,1,1,1
92,N2,2017-10-23,1,13.476292222222222,2.8787194444444437,1,unspecified,None,1,1,1
93,N2,2017-10-23,1,13.491647222222221,2.894074444444444,1,unspecified,None,1,1,1
94,N2,2017-10-23,1,13.49281388888889,2.8952411111111114,1,unspecified,None,1,1,1
95,N2,2017-10-23,1,13.496099166666665,2.898526388888888,1,unspecified,None,1,1,1
96,N2,2017-10-23,1,13.496771111111112,2.899198333333333,1,unspecified,None,1,1,1
97,N2,2017-10-23,1,13.50348972222222,2.905916944444444,1,unspecified,None,1,1,1
125,N3,2017-10-25,1,10.666043333333334,0.04399749999999999,1,unspecified,None,1,1,1
126,N3,2017-10-25,1,10.725351944444444,0.10330611111111113,1,unspecified,None,1,1,1
127,N3,2017-10-25,1,10.742034722222222,0.1199888888888889,1,unspecified,None,1,1,1
128,N3,2017-10-25,1,12.422148888888888,1.8001030555555555,1,unspecified,None,1,1,1
129,N3,2017-10-25,1,12.433780833333332,1.811735,1,unspecified,None,1,1,1
130,N3,2017-10-25,1,12.545245555555555,1.9231997222222224,1,unspecified,None,1,1,1
131,N3,2017-10-25,1,12.794052222222223,2.1720063888888888,1,unspecified,None,1,1,1
132,N3,2017-10-25,1,12.797929166666666,2.1758833333333336,1,unspecified,None,1,1,1
133,N3,2017-10-25,1,13.484642777777777,2.8625969444444443,1,unspecified,None,1,1,1
134,N3,2017-10-25,1,13.640589166666667,3.018543333333333,1,unspecified,None,1,1,1
8,V2,2017-11-29,1,9.682281944444444,-2.255614444444446,0,others_to_focal,Displacement from others to focal,1,1,1
9,V2,2017-11-29,1,12.09148972222222,0.15359333333333172,1,focal_to_others,Displacement from focal to others,1,1,1
10,V2,2017-11-29,1,12.102340555555555,0.1644441666666656,1,focal_to_others,Displacement from focal to others,1,1,1
98,N4,2017-12-01,1,12.365281111111111,0.27620833333333344,1,unspecified,None,1,1,1
99,N4,2017-12-01,1,13.525020277777779,1.4359475,1,unspecified,None,1,1,1
50,M(4),2017-12-02,0,10.743375833333333,,0,others_to_focal,Displacement from others to focal,1,1,1
51,M(4),2017-12-02,0,12.234526388888888,,0,others_to_focal,Displacement from others to focal,1,1,1
52,M(4),2017-12-02,0,12.355184444444445,,0,focal_to_others,Displacement from focal to others,1,1,1
53,M(4),2017-12-02,0,12.874837222222224,,0,focal_to_others,Displacement from focal to others,1,1,0
54,M(4),2017-12-02,0,13.600320555555554,,0,focal_to_others,Displacement from focal to others,1,1,1
55,M(4),2017-12-02,0,14.27954861111111,,0,others_to_focal,Displacement from others to focal,1,1,1
56,M(4),2017-12-02,0,15.195724444444444,,0,focal_to_others,Displacement from focal to others,1,1,1
57,M(4),2017-12-02,0,15.203488055555555,,0,others_to_focal,Displacement from others to focal,1,1,1
58,M(4),2017-12-02,0,15.558446111111111,,0,focal_to_others,Displacement from focal to others,1,1,1
59,M(4),2017-12-02,0,16.951338055555553,,0,others_to_focal,Displacement from others to focal,1,1,1
60,M(4),2017-12-02,0,17.20359666666667,,0,others_to_focal,Displacement from others to focal,1,1,1
61,M(4),2017-12-02,0,17.379884444444446,,0,others_to_focal,Displacement from others to focal,1,1,0
100,N5,2017-12-03,0,10.675534166666667,,0,unspecified,None,1,1,1
101,N5,2017-12-03,0,10.682373055555555,,0,unspecified,None,1,1,1
102,N5,2017-12-03,0,11.030178333333334,,0,unspecified,None,1,1,1
103,N5,2017-12-03,0,12.808730555555556,,0,unspecified,None,1,1,1
104,N5,2017-12-03,0,13.02801388888889,,0,unspecified,None,1,0,1
105,N5,2017-12-03,0,13.029029166666666,,0,unspecified,None,0,0,0
106,N5,2017-12-03,0,13.938135833333334,,0,unspecified,None,1,1,1
107,N5,2017-12-03,0,13.982634722222222,,0,unspecified,None,1,1,1
108,N5,2017-12-03,0,14.566746666666667,,0,unspecified,None,1,1,1
109,N5,2017-12-03,0,14.890226944444443,,0,unspecified,None,1,1,1
110,N5,2017-12-03,0,15.533609722222222,,0,unspecified,None,1,1,1
111,N5,2017-12-03,0,15.551895,,0,unspecified,None,1,1,1
112,N5,2017-12-03,0,15.561629166666668,,0,unspecified,None,1,1,1
113,N5,2017-12-03,0,15.6708475,,0,unspecified,None,1,1,1
114,N5,2017-12-03,0,15.870314166666667,,0,unspecified,None,1,1,1
115,N5,2017-12-03,0,15.893786111111112,,0,unspecified,None,1,1,1
116,N5,2017-12-03,0,18.09611138888889,,0,unspecified,None,1,1,1
117,N5,2017-12-03,0,18.13741972222222,,0,unspecified,None,1,1,1
118,N6,2017-12-05,0,14.421230833333333,,0,unspecified,None,1,1,0
119,N6,2017-12-05,0,15.933803888888889,,0,unspecified,None,1,1,1
120,N6,2017-12-05,0,15.954650555555554,,0,unspecified,None,1,1,1
121,N6,2017-12-05,0,16.026551944444446,,0,unspecified,None,1,1,1
62,M(5),2017-12-06,1,11.733844166666668,0.30736888888888897,1,others_to_focal,Displacement from others to focal,1,1,1
63,M(5),2017-12-06,1,11.761101944444446,0.3346266666666669,1,focal_to_others,Displacement from focal to others,1,1,0
64,M(5),2017-12-06,1,13.346665833333335,1.9201905555555554,1,others_to_focal,Displacement from others to focal,1,1,1
65,M(5),2017-12-06,1,16.425975555555556,4.999500277777778,1,others_to_focal,Displacement from others to focal,1,1,0
11,V4,2017-12-12,0,13.294543055555556,,0,others_to_focal,Displacement from others to focal,1,1,1
12,V4,2017-12-12,0,16.503318888888888,,0,focal_to_others,Displacement from focal to others,1,1,1
13,V4,2017-12-12,0,17.126689166666665,,0,others_to_focal,Displacement from others to focal,1,1,0
122,N8,2017-12-13,1,10.934543611111112,-1.352548611111111,0,unspecified,None,1,1,1
123,N8,2017-12-13,1,12.434635555555555,0.14754333333333358,1,unspecified,None,1,1,1
66,M(7),2017-12-14,0,10.997630555555556,,0,others_to_focal,Displacement from others to focal,1,1,1
67,M(7),2017-12-14,0,11.0144175,,0,others_to_focal,Displacement from others to focal,1,1,1
68,M(7),2017-12-14,0,11.279735555555556,,0,others_to_focal,Displacement from others to focal,1,1,1
69,M(7),2017-12-14,0,11.287441944444444,,0,others_to_focal,Displacement from others to focal,1,1,0
70,M(7),2017-12-14,0,11.459539722222223,,0,focal_to_others,Displacement from focal to others,1,1,1
71,M(7),2017-12-14,0,11.597460555555555,,0,others_to_focal,Displacement from others to focal,1,1,1
72,M(7),2017-12-14,0,11.813036388888888,,0,focal_to_others,Displacement from focal to others,1,1,1
73,M(7),2017-12-14,0,11.840992222222223,,0,focal_to_others,Displacement from focal to others,1,1,1
74,M(7),2017-12-14,0,11.868684722222222,,0,others_to_focal,Displacement from others to focal,1,1,1
75,M(7),2017-12-14,0,11.873472500000002,,0,others_to_focal,Displacement from others to focal,1,1,0
76,M(7),2017-12-14,0,13.074120277777778,,0,focal_to_others,Displacement from focal to others,1,1,1
77,M(7),2017-12-14,0,13.265253055555556,,0,others_to_focal,Displacement from others to focal,1,1,1
78,M(7),2017-12-14,0,13.876471666666667,,0,others_to_focal,Displacement from others to focal,1,1,1
79,M(7),2017-12-14,0,14.118110555555557,,0,others_to_focal,Displacement from others to focal,1,1,1
80,M(7),2017-12-14,0,14.367333333333335,,0,others_to_focal,Displacement from others to focal,1,1,1
81,M(7),2017-12-14,0,15.368356666666667,,0,others_to_focal,Displacement from others to focal,1,1,1
82,M(7),2017-12-14,0,15.369668055555556,,0,focal_to_others,Displacement from focal to others,1,1,0
83,M(7),2017-12-14,0,15.388981388888888,,0,others_to_focal,Displacement from others to focal,1,1,1
14,V5,2017-12-15,1,13.811015000000001,3.5339650000000016,1,others_to_focal,Displacement from others to focal,1,1,1
15,V7,2017-12-20,1,10.701520555555556,-0.3748661111111101,0,others_to_focal,Displacement from others to focal,1,1,1
16,V7,2017-12-20,1,12.252473333333334,1.1760866666666678,1,others_to_focal,Displacement from others to focal,1,1,1
17,V7,2017-12-20,1,14.211931944444444,3.1355452777777786,1,others_to_focal,Displacement from others to focal,1,1,1
18,V7,2017-12-20,1,14.213296666666666,3.136910000000001,1,focal_to_others,Displacement from focal to others,1,1,1
19,V8,2017-12-21,0,11.621171944444443,,0,others_to_focal,Displacement from others to focal,1,1,1
20,V8,2017-12-21,0,11.821726944444444,,0,others_to_focal,Displacement from others to focal,1,1,1
21,V8,2017-12-21,0,12.524614722222221,,0,others_to_focal,Displacement from others to focal,1,1,1
84,M(8),2017-12-22,1,10.425757222222224,0.4663125000000001,1,others_to_focal,Displacement from others to focal,1,1,1
85,M(8),2017-12-22,1,10.81877277777778,0.8593280555555556,1,others_to_focal,Displacement from others to focal,1,1,1
86,M(8),2017-12-22,1,12.582978055555557,2.6235333333333335,1,others_to_focal,Displacement from others to focal,1,1,1
87,M(8),2017-12-22,1,13.4974225,3.537977777777778,1,others_to_focal,Displacement from others to focal,1,1,1
88,M(8),2017-12-22,1,13.49780611111111,3.5383613888888887,1,others_to_focal,Displacement from others to focal,1,1,0
89,M(8),2017-12-22,1,15.633565,5.674120277777777,1,others_to_focal,Displacement from others to focal,1,1,1
124,N9,2017-12-29,1,10.557175555555556,-3.195730833333333,0,unspecified,None,1,1,0
