observation_number,observation_label,original_recording_id,observation_date,collection_day,collection_phase,group_size_known_hours,time_weighted_mean_group_size,multiple_grackle_percent,maximum_group_size_lower_bound
1,Observation 1,N2,2017-10-23,1,Pre-collection,0.2525805555555553,1.2762770953161244,22.225032717834832,3
1,Observation 1,N2,2017-10-23,1,Post-collection,1.3777369444444458,1.7572718385000503,52.44417526083909,4
2,Observation 2,N3,2017-10-25,1,Post-collection,1.5664669444444443,2.0321704132140272,58.6310382476065,8
3,Observation 3,V2,2017-11-29,1,Pre-collection,0.3247611111111069,1.7030193133414209,31.065141899173508,9
3,Observation 3,V2,2017-11-29,1,Post-collection,1.5008919444444493,2.57939713995992,60.335085933160784,9
4,Observation 4,V3,2017-11-30,0,No collection,0.40871361111111076,1.55703022151479,45.1893440734442,5
5,Observation 5,N4,2017-12-01,1,Pre-collection,0.2846008333333326,1.8617820475656444,27.95796842165888,7
5,Observation 5,N4,2017-12-01,1,Post-collection,1.029920555555552,1.4865618006135322,33.17877268850838,5
6,Observation 6,M(4),2017-12-02,0,No collection,3.233418888888886,1.7467269766401359,43.35452292155819,6
7,Observation 7,N5,2017-12-03,0,No collection,2.7624480555555553,2.1525837640184906,60.54260648239441,9
8,Observation 8,N6,2017-12-05,0,No collection,1.8100330555555588,1.7800264237040473,45.81383489159734,7
9,Observation 9,M(5),2017-12-06,1,Pre-collection,0.1075197222222222,1.6303494707689237,46.95262626236502,3
9,Observation 9,M(5),2017-12-06,1,Post-collection,1.869635833333331,1.749988151287338,47.27969157392373,7
10,Observation 10,V4,2017-12-12,0,No collection,1.7895708333333338,2.1032758474836064,52.45834080331171,8
11,Observation 11,N8,2017-12-13,1,Pre-collection,0.3678124999999985,1.9770935523458915,55.24803171906019,5
11,Observation 11,N8,2017-12-13,1,Post-collection,1.1430063888888935,2.8309606512843843,72.65328302092205,8
12,Observation 12,M(7),2017-12-14,0,No collection,2.347891111111109,1.9429011235614764,54.944448966495784,7
13,Observation 13,V5,2017-12-15,1,Pre-collection,0.21001388888889172,1.7043714040076439,39.67647642351669,4
13,Observation 13,V5,2017-12-15,1,Post-collection,0.7044963888888903,1.2322399728411135,19.386031077361267,5
14,Observation 14,V6,2017-12-16,0,No collection,0.8896419444444483,1.7903466781735746,28.769252049278943,9
15,Observation 15,V7,2017-12-20,1,Pre-collection,0.5820147222222285,2.0647893118396534,55.26797957096295,7
15,Observation 15,V7,2017-12-20,1,Post-collection,1.5199383333333247,2.0622987628518654,51.551323902395666,8
16,Observation 16,V8,2017-12-21,0,No collection,3.34858916666665,1.8563394982016075,39.99696887271198,9
17,Observation 17,M(8),2017-12-22,1,Pre-collection,0.2095008333333337,1.0066891804991496,0.6689180499149517,2
17,Observation 17,M(8),2017-12-22,1,Post-collection,1.727442499999998,2.2247223858391805,56.36199822055512,9
18,Observation 18,N9,2017-12-29,1,Pre-collection,1.4071441666666689,2.0403425456485045,52.45776562024065,8
18,Observation 18,N9,2017-12-29,1,Post-collection,0.9677088888888961,2.221038409163445,58.69875352780506,9
19,Observation 19,M(9),2017-12-30,0,No collection,0.7609550000000005,1.7663666781288727,62.51840706013387,5
20,Observation 20,V9,2017-12-31,0,No collection,0.543800277777777,1.481111069678875,32.96272477487401,5
21,Observation 21,V1,2018-01-01,0,No collection,1.6124802777777747,2.23930576928676,69.22422306973955,6
22,Observation 22,M(1),2018-01-02,0,No collection,2.3971291666666668,1.7391851247991679,41.38771319628296,7
23,Observation 23,M(2),2018-01-03,1,Pre-collection,0.22175694444444438,1.5961268906773596,50.852096577208904,4
23,Observation 23,M(2),2018-01-03,1,Post-collection,1.2560613888888854,2.354761720996923,65.1032404865208,9
24,Observation 24,M(3),2018-01-04,0,No collection,0.9413447222222285,1.3210897176940395,26.00493797141823,5
25,Observation 25,N1,2018-01-06,1,Pre-collection,0.29182500000000017,1.7112881578571644,57.029707682496195,3
25,Observation 25,N1,2018-01-06,1,Post-collection,1.9195777777777792,2.622945149975109,62.605868188606195,9
