observation_number,observation_label,original_recording_id,observation_date,observer,collection_day,bin_number,bin_start_local,bin_stop_local,clock_hour,camera_seconds,post_collection_fraction,hours_from_collection_midpoint,collection_phase,focal_visible_seconds,group_size_known_seconds,group_size_person_seconds,time_weighted_mean_group_size,multiple_grackle_seconds,multiple_grackle_fraction,focal_competitor_seconds_lower_bound,group_size_9plus_seconds,displacement_events_all,displacement_events_with_known_group,displacement_events_with_recorded_competitor,maximum_group_size_lower_bound
1,Observation 1,N2,2017-10-23,Observer 2,1,1,2017-10-23T07:00:00.000,2017-10-23T07:30:00.000,7.483333333333333,120.0,0.0,-3.114239444444445,Pre-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
1,Observation 1,N2,2017-10-23,Observer 2,1,2,2017-10-23T07:30:00.000,2017-10-23T08:00:00.000,7.75,1800.0,0.0,-2.8475727777777777,Pre-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
1,Observation 1,N2,2017-10-23,Observer 2,1,3,2017-10-23T08:00:00.000,2017-10-23T08:30:00.000,8.25,1800.0,0.0,-2.3475727777777777,Pre-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
1,Observation 1,N2,2017-10-23,Observer 2,1,4,2017-10-23T08:30:00.000,2017-10-23T09:00:00.000,8.75,1800.0,0.0,-1.847572777777778,Pre-collection,113.21399999999903,112.29199999999946,112.29199999999946,1.0,0.0,0.0,0.0,0.0,0,0,0,1
1,Observation 1,N2,2017-10-23,Observer 2,1,5,2017-10-23T09:00:00.000,2017-10-23T09:30:00.000,9.25,1800.0,0.0,-1.347572777777778,Pre-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
1,Observation 1,N2,2017-10-23,Observer 2,1,6,2017-10-23T09:30:00.000,2017-10-23T10:00:00.000,9.75,1800.0,0.0,-0.847572777777778,Pre-collection,324.59000000000196,317.78899999999885,393.21899999999914,1.2373587506175499,50.79400000000169,0.1598356141968472,75.43000000000029,0.0,0,0,0,3
1,Observation 1,N2,2017-10-23,Observer 2,1,7,2017-10-23T10:00:00.000,2017-10-23T10:30:00.000,10.25,1800.0,0.0,-0.34757277777777795,Pre-collection,486.47299999999814,479.20900000000074,654.994999999999,1.366825330909891,151.29599999999846,0.31572028071258723,175.78599999999824,0.0,1,1,1,3
1,Observation 1,N2,2017-10-23,Observer 2,1,8,2017-10-23T10:30:00.000,2017-10-23T11:00:00.000,10.75,1800.0,0.8048544444444441,0.15242722222222205,Straddles collection end,374.8550000000014,371.91400000000067,403.45100000000093,1.0847964852089467,31.537000000000262,0.08479648520894671,31.537000000000262,0.0,0,0,0,2
1,Observation 1,N2,2017-10-23,Observer 2,1,9,2017-10-23T11:00:00.000,2017-10-23T11:30:00.000,11.25,1800.0,1.0,0.652427222222222,Post-collection,964.534999999998,961.3289999999997,1971.8380000000034,2.0511583443337336,701.7369999999992,0.729965495683579,1010.5090000000037,0.0,0,0,0,4
1,Observation 1,N2,2017-10-23,Observer 2,1,10,2017-10-23T11:30:00.000,2017-10-23T12:00:00.000,11.75,1800.0,1.0,1.152427222222222,Post-collection,609.985999999999,608.2989999999991,887.2379999999939,1.4585557431460439,271.12799999999515,0.4457150184366497,278.93899999999485,0.0,0,0,0,3
1,Observation 1,N2,2017-10-23,Observer 2,1,11,2017-10-23T12:00:00.000,2017-10-23T12:30:00.000,12.25,1800.0,1.0,1.652427222222222,Post-collection,439.15300000000207,438.6160000000018,729.8100000000013,1.6638927900486948,173.6229999999996,0.3958428329107896,291.1939999999995,0.0,1,1,1,3
1,Observation 1,N2,2017-10-23,Observer 2,1,12,2017-10-23T12:30:00.000,2017-10-23T13:00:00.000,12.75,1800.0,1.0,2.1524272222222223,Post-collection,454.2250000000022,451.4810000000034,805.8799999999937,1.7849699101401557,200.78399999998874,0.4447230337489002,354.39899999999034,0.0,0,0,0,4
1,Observation 1,N2,2017-10-23,Observer 2,1,13,2017-10-23T13:00:00.000,2017-10-23T13:30:00.000,13.25,1800.0,1.0,2.6524272222222223,Post-collection,1450.6939999999959,1447.1399999999994,2890.5629999999946,1.9974314855508077,974.4240000000027,0.6733446660309321,1443.4229999999952,0.0,5,5,5,4
1,Observation 1,N2,2017-10-23,Observer 2,1,14,2017-10-23T13:30:00.000,2017-10-23T14:00:00.000,13.75,1800.0,1.0,3.1524272222222223,Post-collection,690.7770000000019,681.0740000000005,1027.0300000000097,1.5079565509768527,247.9210000000021,0.3640147766615697,345.9560000000092,0.0,1,1,1,3
