observation_id,observation_date,weekday,observer,collection_day,bin_number,clock_hour,camera_seconds,post_collection_camera_seconds,post_collection_fraction,hours_from_collection_midpoint,collection_phase,foraging_seconds,foraging_bouts,focal_visible_seconds,displacement_events,displacement_focal_to_others,displacement_others_to_focal,displacement_unspecified,any_foraging,full_bin,ar_start,exclude_n3
N2,2017-10-23,Monday,Observer 2,1,1,7.483333333333333,120.0,0.0,0.0,-3.114239444444445,Pre-collection,0.0,0,0.0,0,0,0,0,0,0,1,1
N2,2017-10-23,Monday,Observer 2,1,2,7.75,1800.0,0.0,0.0,-2.8475727777777777,Pre-collection,0.0,0,0.0,0,0,0,0,0,1,0,1
N2,2017-10-23,Monday,Observer 2,1,3,8.25,1800.0,0.0,0.0,-2.3475727777777777,Pre-collection,0.0,0,0.0,0,0,0,0,0,1,0,1
N2,2017-10-23,Monday,Observer 2,1,4,8.75,1800.0,0.0,0.0,-1.847572777777778,Pre-collection,40.06800000000021,2,113.21399999999903,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,5,9.25,1800.0,0.0,0.0,-1.347572777777778,Pre-collection,0.0,0,0.0,0,0,0,0,0,1,0,1
N2,2017-10-23,Monday,Observer 2,1,6,9.75,1800.0,0.0,0.0,-0.847572777777778,Pre-collection,243.23700000000008,14,324.59000000000196,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,7,10.25,1800.0,0.0,0.0,-0.34757277777777795,Pre-collection,402.7099999999955,19,486.47299999999814,1,0,0,1,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,8,10.75,1800.0,1448.7379999999994,0.8048544444444441,0.15242722222222205,Straddles collection end,346.4800000000032,12,374.8550000000014,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,9,11.25,1800.0,1800.0,1.0,0.652427222222222,Post-collection,228.43599999999788,9,964.534999999998,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,10,11.75,1800.0,1800.0,1.0,1.152427222222222,Post-collection,289.0679999999993,7,609.985999999999,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,11,12.25,1800.0,1800.0,1.0,1.652427222222222,Post-collection,433.7649999999958,5,439.15300000000207,1,0,0,1,1,1,0,1
