"analysis","mechanism","ratio_type","bin_minutes","interval_rows","observation_days","estimate_log","standard_error","effect_ratio","ci_low","ci_high","p_value","deviance_explained","residual_lag1","convergence","notes"
"Attendance primary 30-minute","Patch attendance","Rate ratio",30,529,25,0.296821311233827,0.216339163074316,1.34557483885719,0.880561367889059,2.0561561215273,0.170665997160689,0.365648694721989,0.0874195888095392,"full convergence","Focal-visible seconds per camera exposure"
"Intensity primary 30-minute","Conditional foraging intensity","Rate ratio",30,335,25,0.0237321413561818,0.131176532060996,1.02401598961744,0.791861214214896,1.32423299458079,0.856545122466211,0.0405169392626879,0.00227352836488099,"full convergence","Foraging seconds per focal-visible exposure"
"Intensity fractional-logit sensitivity","Conditional foraging intensity","Odds ratio",30,335,25,0.0988658429488662,0.222660143289092,1.10391819121499,0.713523419862395,1.70791222680594,0.657322365624451,0.0518390125186236,0.00101607864681883,"full convergence","Quasibinomial proportion model weighted by focal-visible minutes"
"Attendance excluding N3","Patch attendance","Rate ratio",30,520,24,0.291474172219552,0.219233613571099,1.33839906516684,0.870910716231832,2.05682629028833,0.18428795451627,0.362530480093509,0.084313342418952,"full convergence","Leverage sensitivity"
"Intensity excluding N3","Conditional foraging intensity","Rate ratio",30,326,24,-0.00121394987130301,0.133425887270175,0.998786786667771,0.768954188920405,1.29731401375511,0.992746440325564,0.0394374064364984,0.00543652623051024,"full convergence","Leverage sensitivity"
"Attendance 15-minute sensitivity","Patch attendance","Rate ratio",15,1037,25,0.332170675469641,0.190490700491891,1.39399074823575,0.959652310308314,2.02491067368196,0.0815039372800135,0.285339259978171,0.224123739530042,"full convergence","Aggregation sensitivity"
"Intensity 15-minute sensitivity","Conditional foraging intensity","Rate ratio",15,524,25,0.0146901878353179,0.122905638091065,1.01479861895183,0.797558226007892,1.29121135416182,0.904906696519359,0.0193684061065371,0.0936762484412503,"full convergence","Aggregation sensitivity"
"Attendance 60-minute sensitivity","Patch attendance","Rate ratio",60,276,25,0.276541957281277,0.245478626062001,1.31856227484541,0.814983583593162,2.1333024463882,0.260998233885211,0.464103147045952,0.115039904626798,"full convergence","Aggregation sensitivity"
"Intensity 60-minute sensitivity","Conditional foraging intensity","Rate ratio",60,204,25,-0.0258006791008181,0.135694511138762,0.974529314310793,0.746949997506121,1.27144706824004,0.849398691533805,0.0710848667875607,-0.0654411732518107,"full convergence","Aggregation sensitivity"
"Attendance AR(1) sensitivity","Patch attendance","Rate ratio",30,529,25,0.281734587592807,0.226186301715358,1.32542688855759,0.850796408006937,2.06483762787247,0.213491818078184,0.363664358842243,0.0953637248824559,"TRUE","rho = 0.0874"
"Intensity AR(1) sensitivity","Conditional foraging intensity","Rate ratio",30,335,25,0.0230891953863187,0.129557081964269,1.0233578142721,0.793868046997918,1.31918801870422,0.858664342337975,0.0436908659511695,-0.00164259236187892,"TRUE","rho = 0.0023"
