"excluded_day","camera_rate_ratio","opportunity_adjusted_rate_ratio","camera_convergence","opportunity_convergence","error"
"N2",1.49047947025941,1.27264494681139,"full convergence","full convergence",
"N3",1.3344035336019,1.08080837980814,"full convergence","full convergence",
"V2",1.44077620385438,1.1329227109383,"full convergence","full convergence",
"V3",1.46752513688319,1.18602786011004,"full convergence","full convergence",
"N4",1.2946000037823,1.09228067592079,"full convergence","full convergence",
"M(4)",1.7064709481633,1.24317249630776,"full convergence","full convergence",
"N5",1.6308963241834,1.23015505047977,"full convergence","full convergence",
"N6",1.59111401421934,1.2285117370377,"full convergence","full convergence",
"M(5)",1.25020040147202,1.14291140244649,"full convergence","full convergence",
"V4",1.55762721443035,1.18133991782561,"full convergence","full convergence",
"N8",1.54179417510127,1.33835897025687,"full convergence","full convergence",
"M(7)",1.41441168965427,1.14475804223399,"full convergence","full convergence",
"V5",1.52516235701106,1.17612486027876,"full convergence","full convergence",
"V6",1.51288142623719,1.24071295219595,"full convergence","full convergence",
"V7",1.60719269524188,1.25645308451241,"full convergence","full convergence",
"V8",1.52055189484333,1.52917599460756,"full convergence","full convergence",
"M(8)",1.33622437808078,1.05744428326154,"full convergence","full convergence",
"N9",1.49314826700342,1.10055418905183,"full convergence","full convergence",
"M(9)",1.51078751279908,1.21967512376544,"full convergence","full convergence",
"V9",1.51299414777556,1.24916484608269,"full convergence","full convergence",
"V1",1.55950506897284,1.24626414837694,"full convergence","full convergence",
"M(1)",1.44373747173034,1.18535313428676,"full convergence","full convergence",
"M(2)",1.86503298330666,1.5206709863578,"full convergence","full convergence",
"M(3)",1.4295999787666,1.17390684641624,"full convergence","full convergence",
"N1",1.19298527966027,1.01494655544773,"full convergence","full convergence",
