"analysis","response","exposure","family","bin_minutes","interval_rows","observation_days","events","estimate_log","standard_error","effect_ratio","ci_low","ci_high","p_value","aic","deviance_explained","pearson_dispersion","observed_zeros","expected_zeros","residual_lag1","theta","day_random_effect_edf","day_random_effect_p","convergence","max_gradient","positive_hessian","notes"
"Total displacement per camera exposure","displacement_events","camera time","Negative Binomial(0.615)",30,541,25,139,0.389652624815153,0.519585843827798,1.47646781650932,0.533275599636117,4.08786228860891,0.453297313767395,586.712887195426,0.359353591275202,0.70219096892664,458,458.587072837562,-0.00766472424019753,0.615249495515732,16.3296139023298,-5.73055840114023e-07,"full convergence",5.86352506104504e-06,TRUE,"Descriptive total-activity model; includes all 139 recorded events"
"Opportunity-adjusted displacement rate","visible_displacement_events","focal-visible time","Negative Binomial(2.116)",30,337,25,138,0.1802918812786,0.495328711247447,1.19756685945976,0.453602255891568,3.16172674242418,0.715869722597688,507.707819097842,0.186963328585391,1.77133781496524,254,252.093065739601,-0.0188743721312146,2.11601487553438,13.1266524785285,0.000150283148703689,"full convergence",7.73634301953763e-07,TRUE,"Primary aggression test; excludes one unspecified event outside coded focal visibility"
"Focal-to-others displacement rate","visible_displacement_focal_to_others","focal-visible time","Negative Binomial(25365.264)",30,337,25,28,1.77393627562247,1.39956006558605,5.89400820036896,0.379404998383033,91.5626647357583,0.204978123000852,165.637304897267,0.440637081652059,0.41561193818794,313,313.759993220725,-0.093211497922606,25365.2637255155,12.5669694758599,1.33178101876519e-05,"full convergence",2.21046628443216e-05,TRUE,"Exploratory direction-specific rate"
"Others-to-focal displacement rate","visible_displacement_others_to_focal","focal-visible time","Negative Binomial(4.38)",30,337,25,60,-0.492706731847816,0.713012075334203,0.610970420961222,0.151043905422282,2.47136654899064,0.489551978771832,300.591566113575,0.344086860711078,1.75412686409743,291,293.108118132301,-0.00129038427319537,4.38037192587344,14.6331460605789,6.56207555072008e-07,"full convergence",1.72522292007926e-06,TRUE,"Exploratory direction-specific rate"
"Unspecified-direction displacement rate","visible_displacement_unspecified","focal-visible time","Negative Binomial(1.894)",30,337,25,50,-0.136224454436512,0.888066997389034,0.872646741072651,0.153078596759881,4.97464930318917,0.878087304987329,208.184610137287,0.574918371966757,0.352990239029788,307,306.984124089909,-0.10167897732337,1.89415168068997,14.0333131375945,-2.83441426551789e-07,"full convergence",6.35258045256215e-06,TRUE,"Exploratory missing-direction rate"
"Displacement rate during foraging","foraging_displacement_events","coded foraging time","Negative Binomial(1.356)",30,315,25,118,0.106040107615866,0.56744009638347,1.11186646992553,0.365634146705071,3.38110392064076,0.851759000798459,466.59029883762,0.193710160337564,1.16112115332951,240,242.688861432983,-0.0200435253755425,1.35639231596659,12.2662228368575,0.0015825990549001,"full convergence",8.27490726429403e-06,TRUE,"Exposure sensitivity restricted to displacement events occurring during foraging"
"Opportunity-adjusted excluding N3","visible_displacement_events","focal-visible time","Negative Binomial(1.812)",30,328,24,128,0.0777092609721889,0.507088961273928,1.08080837980814,0.40004955978661,2.92000509758488,0.878204429462194,485.507979538573,0.182048558586658,1.79073002304882,250,249.071831320095,-0.0166679425526749,1.81248546083144,12.2008937230504,0.000303215446045724,"full convergence",0.000265444984386853,TRUE,"Leverage sensitivity"
"Opportunity-adjusted 15-minute sensitivity","visible_displacement_events","focal-visible time","Negative Binomial(1.95)",15,524,25,138,0.176574661821638,0.491039040174441,1.19312350420848,0.455734820815401,3.12362284222152,0.719150818055889,596.842681510967,0.17037120058516,1.32969573503601,426,426.729201575479,-0.000797206955313488,1.95029180193207,13.779912591059,2.13490694872531e-05,"full convergence",7.285384837874e-05,TRUE,"Aggregation sensitivity"
"Opportunity-adjusted 60-minute sensitivity","visible_displacement_events","focal-visible time","Negative Binomial(3.819)",60,207,25,138,0.206128725542028,0.493179710588007,1.22891138609834,0.467439315490529,3.23084333053438,0.675977350779344,387.144294337925,0.277355604763463,0.786336091892978,136,134.240820652431,-0.103277012971808,3.81862739227781,13.5283502647559,3.89950458782318e-05,"full convergence",5.52868975045584e-08,TRUE,"Aggregation sensitivity"
"Opportunity-adjusted plus observer","visible_displacement_events","focal-visible time","Negative Binomial(1.921)",30,337,25,138,0.168909536360767,0.492740778005437,1.18401302395199,0.450748996926666,3.11012747770134,0.731751983283162,507.557117099462,0.177854596955858,1.72646154845127,254,252.930114715864,-0.0294033154641064,1.92056852637623,9.04712502182224,0.0149700819739079,"full convergence",3.8206498675919e-07,TRUE,"Observer fixed-effect sensitivity"
"Opportunity-adjusted quasi-Poisson sensitivity","visible_displacement_events","focal-visible time","quasipoisson",30,337,25,138,0.179555779034139,0.572847448940959,1.19668565217574,0.389378037103604,3.67780514991459,0.754151102489185,,0.216670118983987,2.03846733209927,254,244.589876345203,-0.0224972689932415,,15.8144220563084,0.00171927091259327,"full convergence",3.9026891300864e-05,TRUE,"Variance-robust count-family sensitivity"
