"omitted_original_recording_id","omitted_observation_number","omitted_observation_label","collection_day","effect_ratio","ci_low","ci_high","p_value"
"M(1)",22,"Observation 22",0,1.30333691143515,1.0929684292691,1.55419594859229,0.00343348734230859
"M(2)",23,"Observation 23",1,1.22886848058894,1.0216852480297,1.47806552506968,0.0294602846414666
"M(3)",24,"Observation 24",0,1.25187006966932,1.04316328840371,1.50233303717199,0.016370547674656
"M(4)",6,"Observation 6",0,1.25770662205631,1.0520647212524,1.50354433069597,0.0123547464540249
"M(5)",9,"Observation 9",1,1.2565294988062,1.04728507375625,1.50758033407972,0.0145699260560134
"M(7)",12,"Observation 12",0,1.24259106243225,1.03656202842217,1.48957081785719,0.0195095500559781
"M(8)",17,"Observation 17",1,1.20702468292779,1.00302198985771,1.45251908724714,0.0472905492924031
"M(9)",19,"Observation 19",0,1.25004942113033,1.04139037776733,1.50051660609581,0.0172132059220349
"N1",25,"Observation 25",1,1.20373472946383,0.999724866712151,1.44937607052097,0.0512632825843833
"N2",1,"Observation 1",1,1.24073181364151,1.03016083393336,1.49434474955174,0.0237159489003153
"N3",2,"Observation 2",1,1.24579904046497,1.03899268857214,1.49376917305965,0.0182652412023997
"N4",5,"Observation 5",1,1.27385758052782,1.05910242696394,1.53215883011419,0.0106670984988775
"N5",7,"Observation 7",0,1.22216209669865,1.01999411067215,1.46440079896398,0.0304496519785473
"N6",8,"Observation 8",0,1.23461111332505,1.02982111045578,1.48012561178815,0.0234663029758351
"N8",11,"Observation 11",1,1.22640843814381,1.01579456481191,1.48069079049351,0.0345770142980306
"N9",18,"Observation 18",1,1.28043644423477,1.04378688971748,1.57073968247324,0.0183816385011071
"V1",21,"Observation 21",0,1.26611399219046,1.05739161914975,1.51603683270109,0.0107358661566724
"V2",3,"Observation 3",1,1.21025123570157,1.00563933367901,1.45649439561869,0.0443343944226426
"V3",4,"Observation 4",0,1.24534100697792,1.040164200265,1.49098981032579,0.0175056317365226
"V4",10,"Observation 10",0,1.25886297683592,1.04989968101601,1.50941658817785,0.0134734394857762
"V5",13,"Observation 13",1,1.26586286541993,1.05600608856146,1.51742382113728,0.0112825744076616
"V6",14,"Observation 14",0,1.26967517161608,1.06254099500196,1.51718855931327,0.00904128404907663
"V7",15,"Observation 15",1,1.29638063580362,1.07577402458456,1.56222655918431,0.00676604031589966
"V8",16,"Observation 16",0,1.14336922667261,0.949226435364239,1.37721953350391,0.159253705228304
"V9",20,"Observation 20",0,1.26090051804877,1.05196029088742,1.51134042813961,0.0126597983851488
