"observation_id","observation_date","weekday","observer","collection_day","bin_number","clock_hour","camera_seconds","post_collection_camera_seconds","post_collection_fraction","hours_from_collection_midpoint","collection_phase","foraging_seconds","foraging_bouts","focal_visible_seconds","displacement_events","displacement_focal_to_others","displacement_others_to_focal","displacement_unspecified","any_foraging","full_bin","ar_start","exclude_n3","exposure_offset","primary_fitted_seconds","primary_pearson_residual","primary_deviance_residual"
"N2","2017-10-23","Monday","Observer 2",1,1,7.48333333333333,120,0,0,-3.11423944444444,"Pre-collection",0,0,0,0,0,0,0,0,0,TRUE,1,-2.70805020110221,0.876792666070804,-0.960113596350919,-1.72561330175182
"N2","2017-10-23","Monday","Observer 2",1,2,7.75,1800,0,0,-2.84757277777778,"Pre-collection",0,0,0,0,0,0,0,0,1,FALSE,1,0,18.6103586005891,-2.47216494538507,-4.44322497889285
"N2","2017-10-23","Monday","Observer 2",1,3,8.25,1800,0,0,-2.34757277777778,"Pre-collection",0,0,0,0,0,0,0,0,1,FALSE,1,0,34.6542322630574,-2.996827241132,-5.38620114328583
"N2","2017-10-23","Monday","Observer 2",1,4,8.75,1800,0,0,-1.84757277777778,"Pre-collection",40.0680000000002,2,113.213999999999,0,0,0,0,1,1,FALSE,1,0,61.1676875588546,-1.23255653659751,-1.3510959750908
"N2","2017-10-23","Monday","Observer 2",1,5,9.25,1800,0,0,-1.34757277777778,"Pre-collection",0,0,0,0,0,0,0,0,1,FALSE,1,0,100.491840714993,-4.16676295399708,-7.48892798309677
"N2","2017-10-23","Monday","Observer 2",1,6,9.75,1800,0,0,-0.847572777777778,"Pre-collection",243.237,14,324.590000000002,0,0,0,0,1,1,FALSE,1,0,150.890263518001,2.8920618482235,2.57281129355639
"N2","2017-10-23","Monday","Observer 2",1,7,10.25,1800,0,0,-0.347572777777778,"Pre-collection",402.709999999995,19,486.472999999998,1,0,0,1,1,1,FALSE,1,0,203.325583684824,5.08212360586997,4.28003918191032
"N2","2017-10-23","Monday","Observer 2",1,8,10.75,1800,1448.738,0.804854444444444,0.152427222222222,"Straddles collection end",346.480000000003,12,374.855000000001,0,0,0,0,1,1,FALSE,1,0,298.136816188631,0.946070377225495,0.913269555966682
"N2","2017-10-23","Monday","Observer 2",1,9,11.25,1800,1800,1,0.652427222222222,"Post-collection",228.435999999998,9,964.534999999998,0,0,0,0,1,1,FALSE,1,0,325.913360108526,-1.79383122886108,-1.93911533062197
"N2","2017-10-23","Monday","Observer 2",1,10,11.75,1800,1800,1,1.15242722222222,"Post-collection",289.067999999999,7,609.985999999999,0,0,0,0,1,1,FALSE,1,0,306.936894161492,-0.342738845512139,-0.34746403109275
"N2","2017-10-23","Monday","Observer 2",1,11,12.25,1800,1800,1,1.65242722222222,"Post-collection",433.764999999996,5,439.153000000002,1,0,0,1,1,1,FALSE,1,0,274.653011047358,3.2952775158926,2.94712276803213
"N2","2017-10-23","Monday","Observer 2",1,12,12.75,1800,1800,1,2.15242722222222,"Post-collection",211.569000000007,7,454.225000000002,0,0,0,0,1,1,FALSE,1,0,244.693948493315,-0.74297991911405,-0.767768804080771
"N2","2017-10-23","Monday","Observer 2",1,13,13.25,1800,1800,1,2.65242722222222,"Post-collection",368.162000000004,10,1450.694,5,0,0,5,1,1,FALSE,1,0,227.447381625269,3.31953247975828,2.94993311550892
"N2","2017-10-23","Monday","Observer 2",1,14,13.75,1800,1800,1,3.15242722222222,"Post-collection",613.402000000009,13,690.777000000002,1,0,0,1,1,1,FALSE,1,0,227.659379877318,9.09402153425865,7.0227063792743
"N2","2017-10-23","Monday","Observer 2",1,15,14.25,1800,1800,1,3.65242722222222,"Post-collection",0,0,0,0,0,0,0,0,1,FALSE,1,0,238.350607732136,-5.4439464411501,-9.78441137442195
"N2","2017-10-23","Monday","Observer 2",1,16,14.5171527777778,123.5,123.5,1,3.91958,"Post-collection",0,0,0,0,0,0,0,0,0,FALSE,1,-2.67930078781622,16.8117288091067,-2.39558900006132,-4.30559494183565
"N3","2017-10-25","Wednesday","Observer 2",1,1,10.7833333333333,1560,1360.635,0.872201923076923,0.1612875,"Straddles collection end",619.884,12,740.142,3,0,0,3,1,0,TRUE,0,-0.143100843640673,287.561556043761,6.66771641589702,5.48612847795191
"N3","2017-10-25","Wednesday","Observer 2",1,2,11.25,1800,1800,1,0.627954166666667,"Post-collection",257.296000000001,6,403.964,0,0,0,0,1,1,FALSE,0,0,354.055009187897,-1.68164930653591,-1.80414518570349
"N3","2017-10-25","Wednesday","Observer 2",1,3,11.75,1800,1800,1,1.12795416666667,"Post-collection",215.034999999999,9,441.639999999999,0,0,0,0,1,1,FALSE,0,0,333.439981859794,-2.1448742100482,-2.35864342051523
"N3","2017-10-25","Wednesday","Observer 2",1,4,12.25,1800,1800,1,1.62795416666667,"Post-collection",467.224999999999,8,908.054,2,0,0,2,1,1,FALSE,0,0,298.368481480707,3.30273036973564,2.96028876137265
"N3","2017-10-25","Wednesday","Observer 2",1,5,12.75,1800,1800,1,2.12795416666667,"Post-collection",230.173000000003,10,1215.588,3,0,0,3,1,1,FALSE,0,0,265.822543000921,-0.755165307181432,-0.780108924632293
"N3","2017-10-25","Wednesday","Observer 2",1,6,13.25,1800,1800,1,2.62795416666667,"Post-collection",489.067999999997,6,882.753000000001,1,0,0,1,1,1,FALSE,0,0,247.086786390967,5.39120137747061,4.54113615525552
"N3","2017-10-25","Wednesday","Observer 2",1,7,13.75,1800,1800,1,3.12795416666667,"Post-collection",352.726000000004,12,908.538999999995,1,0,0,1,1,1,FALSE,0,0,247.317090061402,2.34693938480192,2.15435291249468
"N3","2017-10-25","Wednesday","Observer 2",1,8,14.25,1800,1800,1,3.62795416666667,"Post-collection",149.445000000002,4,160.316999999999,0,0,0,0,1,1,FALSE,0,0,258.931473635942,-2.36169737603628,-2.65528284647232
"N3","2017-10-25","Wednesday","Observer 2",1,9,14.5229861111111,165.5,165.5,1,3.90094027777778,"Post-collection",10.2270000000008,1,13.9600000000009,0,0,0,0,1,0,FALSE,0,-2.38657074906714,24.4879843469905,-1.56737918583382,-1.87194041631568
"V2","2017-11-29","Wednesday","Observer 3",1,1,8.85833333333333,1020,0,0,-3.07956305555556,"Pre-collection",49.8999999999978,2,68.8629999999976,0,0,0,0,1,0,TRUE,1,-0.567984037605939,33.8700278201846,1.40832074263334,1.28217110243093
"V2","2017-11-29","Wednesday","Observer 3",1,2,9.25,1800,0,0,-2.68789638888889,"Pre-collection",17.7739999999976,1,56.6579999999958,0,0,0,0,1,1,FALSE,1,0,87.5920639299296,-3.18295900082201,-4.25694850744098
"V2","2017-11-29","Wednesday","Observer 3",1,3,9.75,1800,0,0,-2.18789638888889,"Pre-collection",28.1740000000063,3,127.291000000005,1,0,1,0,1,1,FALSE,1,0,131.521022149023,-3.55860055019839,-4.72371447119101
"V2","2017-11-29","Wednesday","Observer 3",1,4,10.25,1800,0,0,-1.68789638888889,"Pre-collection",377.646000000001,10,502.635999999991,0,0,0,0,1,1,FALSE,1,0,177.225408530648,5.61683416715701,4.6363073267705
"V2","2017-11-29","Wednesday","Observer 3",1,5,10.75,1800,0,0,-1.18789638888889,"Pre-collection",91.476999999999,4,419.095999999998,0,0,0,0,1,1,FALSE,1,0,210.443690878007,-2.96115869621303,-3.51140180538223
"V2","2017-11-29","Wednesday","Observer 3",1,6,11.25,1800,0,0,-0.68789638888889,"Pre-collection",83.1080000000002,2,1557.787,0,0,0,0,1,1,FALSE,1,0,218.57966442295,-3.2848135571274,-3.98784129032025
