"metric","value"
"Clock-time basis","Parametric natural cubic spline (splines::ns)"
"Clock-time degrees of freedom","4"
"Clock-time k-index applicability","Not applicable; adequacy assessed with 3-, 5-, and 6-df sensitivity fits"
"Observation-day random-effect edf","15.60236497"
"Observation-day random-effect reference df","23"
"Observation-day random-effect k-index","NA"
"Observation-day random-effect k-check p","NA"
"Deviance explained","0.3331172809"
"Adjusted R squared","0.2623806507"
"Maximum absolute gradient","3.504114341e-06"
"Pearson residual lag 1","0.03397017449"
"Convergence","full convergence"
