"excluded_day","excluded_collection_day","hourly_rate_ratio","immediate_rate_ratio","convergence","error"
"N2",1,0.853032715097654,1.96567825151515,"full convergence",
"N3",1,0.859798613525057,1.87382182640064,"full convergence",
"V2",1,0.866510094052406,1.79399640432009,"full convergence",
"V3",0,0.857564403667156,1.93753768928809,"full convergence",
"N4",1,0.866087894989932,1.86860545752079,"full convergence",
"M(4)",0,0.872092638841821,2.05738631016795,"full convergence",
"N5",0,0.872634717676341,1.94688244229503,"full convergence",
"N6",0,0.869401974725096,1.99092624232487,"full convergence",
"M(5)",1,0.85421584334711,1.7730438422056,"full convergence",
"V4",0,0.877541032035101,1.97843343182895,"full convergence",
"N8",1,0.870401311943302,1.78990192719954,"full convergence",
"M(7)",0,0.843142204924202,2.00197397972019,"full convergence",
"V5",1,0.86771059716296,2.09448264791917,"full convergence",
"V6",0,0.878707009174871,1.89759281402238,"full convergence",
"V7",1,0.850300256174638,2.05301305428784,"full convergence",
"V8",0,0.827994339435363,1.62453912579913,"full convergence",
"M(8)",1,0.8325642326772,2.21815990135966,"full convergence",
"N9",1,0.852206755341952,2.08599990867141,"full convergence",
"M(9)",0,0.848348169686649,1.94532711532128,"full convergence",
"V9",0,0.851750504509991,1.92624375417129,"full convergence",
"V1",0,0.855053631348438,1.92524844969692,"full convergence",
"M(1)",0,0.837913359703275,1.93212533144664,"full convergence",
"M(2)",1,0.8301305111865,2.03493682740731,"full convergence",
"M(3)",0,0.85246410849557,1.93447797890853,"full convergence",
"N1",1,0.901297705838608,1.77899941847785,"full convergence",
