"analysis","term","bin_minutes","interval_rows","observation_days","estimate_log","standard_error","effect_ratio","ci_low","ci_high","p_value","aic","deviance_explained","residual_lag1","convergence","max_gradient","positive_hessian","notes"
"No-decay event-centred model","post_collection",30,541,25,0.35650639098734,0.214696055955977,1.42833065893265,0.937732880321232,2.17559660545135,0.0974152799189973,4563.87499282172,0.329832532084954,0.0392871708519653,"full convergence",5.19635789864026e-06,TRUE,"Exact phase splitting but no elapsed-time term"
"Linear post-collection decay","post_collection_hours",30,541,25,-0.153348312319469,0.0607621014224212,0.857830876706321,0.761519238713941,0.966323338427385,0.0119091698944757,4560.44514087181,0.335842769920084,0.0351633164215549,"full convergence",4.40462493145333e-06,TRUE,"Rate ratio for each additional hour after collection ended"
"Immediate post-collection level","post_collection",30,541,25,0.659867350298888,0.242158075049835,1.93453570179866,1.20351476269653,3.10958244762077,0.00664883679453503,4560.44514087181,0.335842769920084,0.0351633164215549,"full convergence",4.40462493145333e-06,TRUE,"Model-implied ratio at collection end before hourly decay accumulates"
"Linear decay excluding N3","post_collection_hours",30,531,24,-0.151057087476435,0.0622969380018784,0.859798613525057,0.760973425440863,0.971457913121382,0.0156646898248618,4437.4502179616,0.330001738770379,0.0370819502026119,"full convergence",5.80096945768105e-06,TRUE,"Leverage sensitivity"
"Linear decay 15-minute sensitivity","post_collection_hours",15,1049,25,-0.15632117493411,0.0563476566180357,0.855284450326593,0.765856431905565,0.955154857354078,0.00563388258804024,6830.56102195308,0.258660585513545,0.134186388838252,"full convergence",8.260343429356e-05,TRUE,"Aggregation sensitivity"
"Linear decay 60-minute sensitivity","post_collection_hours",60,288,25,-0.156706075170487,0.0655078961921851,0.854955314485788,0.751939663912486,0.972084097764211,0.0174442896112137,2859.96098816646,0.441726267404298,0.0527088897486851,"full convergence",0.000575849275804785,TRUE,"Aggregation sensitivity"
"Linear decay limited to first 6 hours","post_collection_hours",30,511,25,-0.102804087998567,0.0672900213297451,0.902303728296067,0.790815880500422,1.02950893902357,0.127216285598835,4513.6337556071,0.295305677930219,0.0241660628356345,"full convergence",5.83402925791177e-06,TRUE,"Checks whether very late near-zero activity alone drives the slope"
"Linear decay plus observer","post_collection_hours",30,541,25,-0.148445742198136,0.0608496631355154,0.862046778664943,0.765130485503597,0.971239105859822,0.0150406631506336,4560.46477806075,0.337247859710835,0.0324692897951716,"full convergence",4.64513044562409e-06,TRUE,"Observer fixed-effect sensitivity"
"Linear decay with 3-df clock spline","post_collection_hours",30,541,25,-0.132706546402166,0.0615469880094668,0.875722038188861,0.776206701576489,0.987995963719571,0.0315279946384245,4590.08885041182,0.294409836584312,0.0664517797311845,"full convergence",5.58107370984828e-06,TRUE,"Clock-pattern flexibility sensitivity"
"Linear decay with 5-df clock spline","post_collection_hours",30,541,25,-0.154502327125963,0.0610325293029826,0.85684149816168,0.760237886257401,0.965720554373127,0.0116538124911633,4557.51505992321,0.342092552224735,0.0300482678713039,"full convergence",3.98835131498743e-06,TRUE,"Clock-pattern flexibility sensitivity"
"Linear decay with 6-df clock spline","post_collection_hours",30,541,25,-0.161410369651184,0.0614848215162153,0.850942798347247,0.754335231689382,0.959922877309292,0.00891677688116582,4553.43793982096,0.349775845098329,0.0194543355933783,"full convergence",3.35817211549738e-06,TRUE,"Clock-pattern flexibility sensitivity"
