observation_number,observation_label,original_recording_id,observation_date,weekday,observer,camera_start_local,camera_end_local,camera_duration_hours,collection_day,collection_end_local,garbage_marker_count,boris_time_offset_seconds
1,Observation 1,N2,2017-10-23,Monday,Observer 2,2017-10-23T07:28:00.000,2017-10-23T14:32:03.500,7.067638888888889,1,2017-10-23T10:35:51.262,1,0.0
2,Observation 2,N3,2017-10-25,Wednesday,Observer 2,2017-10-25T10:34:00.000,2017-10-25T14:32:45.500,3.9793055555555554,1,2017-10-25T10:37:19.365,1,0.0
3,Observation 3,V2,2017-11-29,Wednesday,Observer 3,2017-11-29T08:43:00.000,2017-11-29T16:27:29.840,7.741622222222222,1,2017-11-29T11:56:16.427,1,31380.0
4,Observation 4,V3,2017-11-30,Thursday,Observer 3,2017-11-30T15:35:00.000,2017-11-30T18:00:28.240,2.424511111111111,0,,0,56100.0
5,Observation 5,N4,2017-12-01,Friday,Observer 2,2017-12-01T08:03:00.000,2017-12-01T20:43:15.140,12.670872222222222,1,2017-12-01T12:05:20.662,1,0.0
6,Observation 6,M(4),2017-12-02,Saturday,Observer 1,2017-12-02T08:14:00.000,2017-12-02T19:39:14.040,11.420566666666668,0,,0,0.0
7,Observation 7,N5,2017-12-03,Sunday,Observer 2,2017-12-03T09:41:00.000,2017-12-03T20:19:14.840,10.637455555555555,0,,0,0.0
8,Observation 8,N6,2017-12-05,Tuesday,Observer 2,2017-12-05T08:07:00.000,2017-12-05T19:49:01.880,11.700522222222222,0,,0,0.0
9,Observation 9,M(5),2017-12-06,Wednesday,Observer 1,2017-12-06T08:11:17.000,2017-12-06T17:16:20.360,9.084266666666666,1,2017-12-06T11:25:35.311,1,0.0
10,Observation 10,V4,2017-12-12,Tuesday,Observer 3,2017-12-12T08:27:00.000,2017-12-12T20:05:20.480,11.639022222222223,0,,0,30420.0
11,Observation 11,N8,2017-12-13,Wednesday,Observer 2,2017-12-13T08:12:00.000,2017-12-13T19:49:28.470,11.624575,1,2017-12-13T12:17:13.532,1,0.0
12,Observation 12,M(7),2017-12-14,Thursday,Observer 1,2017-12-14T10:49:00.000,2017-12-14T18:56:21.030,8.122508333333332,0,,0,0.0
13,Observation 13,V5,2017-12-15,Friday,Observer 3,2017-12-15T06:59:00.000,2017-12-15T18:34:25.700,11.590472222222221,1,2017-12-15T10:16:37.380,1,25140.0
14,Observation 14,V6,2017-12-16,Saturday,Observer 3,2017-12-16T07:16:00.000,2017-12-16T19:00:29.160,11.741433333333335,0,,0,26160.0
15,Observation 15,V7,2017-12-20,Wednesday,Observer 3,2017-12-20T06:34:00.000,2017-12-20T19:07:11.490,12.553191666666667,1,2017-12-20T11:04:34.992,1,23640.0
16,Observation 16,V8,2017-12-21,Thursday,Observer 3,2017-12-21T07:19:00.000,2017-12-21T19:03:14.260,11.737294444444444,0,,0,26340.0
17,Observation 17,M(8),2017-12-22,Friday,Observer 1,2017-12-22T07:13:00.000,2017-12-22T15:57:16.750,8.73798611111111,1,2017-12-22T09:57:34.001,1,0.0
18,Observation 18,N9,2017-12-29,Friday,Observer 2,2017-12-29T07:26:00.000,2017-12-29T18:47:29.410,11.358169444444446,1,2017-12-29T13:45:10.463,1,0.0
19,Observation 19,M(9),2017-12-30,Saturday,Observer 1,2017-12-30T07:30:00.000,2017-12-30T18:05:58.950,10.599708333333332,0,,0,0.0
20,Observation 20,V9,2017-12-31,Sunday,Observer 3,2017-12-31T07:25:00.000,2017-12-31T17:19:35.970,9.909991666666667,0,,0,26700.0
21,Observation 21,V1,2018-01-01,Monday,Observer 3,2018-01-01T10:34:00.000,2018-01-01T19:15:37.160,8.693655555555555,0,,0,38040.0
22,Observation 22,M(1),2018-01-02,Tuesday,Observer 1,2018-01-02T07:10:00.000,2018-01-02T19:19:06.880,12.15191111111111,0,,0,0.0
23,Observation 23,M(2),2018-01-03,Wednesday,Observer 1,2018-01-03T07:11:00.000,2018-01-03T19:05:33.530,11.909313888888889,1,2018-01-03T10:48:22.891,1,0.0
24,Observation 24,M(3),2018-01-04,Thursday,Observer 1,2018-01-04T07:35:00.000,2018-01-04T18:46:26.060,11.190572222222222,0,,0,0.0
25,Observation 25,N1,2018-01-06,Saturday,Observer 2,2018-01-06T07:24:00.000,2018-01-06T18:49:53.260,11.431461111111112,1,2018-01-06T10:06:49.466,1,0.0
